"ID","cluster","maxflow"
"400180",1,2614.31566538964
"400182",1,1899.29930492172
"400183",1,2210.39563106796
"400185",1,2132.29312762973
"400186",1,2085.74645537948
"400189",1,2096.2732174955
"400190",1,2380.70551549405
"400193",1,2332.83907846873
"400195",1,1881.58530362306
"400203",1,1906.60277910877
"400207",1,2273.27509743314
"400208",1,1712.07727298254
"400209",1,1806.41404068608
"400213",1,1902.70124621084
"400218",1,2691.79683597002
"400221",1,2236.84403669725
"400222",1,2139.8742970559
"400223",1,2235.46892239794
"400224",1,1771.53846153846
"400225",1,2008.92345294967
"400227",1,1987.36370425691
"400228",1,1871.4320212509
"400231",1,1882.65802269043
"400235",1,2253.04207119742
"400236",1,1972.93002257336
"400238",1,1998.6529394785
"400246",1,2138.74015748032
"400248",1,2132.78704144831
"400249",1,2073.75220199647
"400252",1,1954.4
"400253",1,2107.02536146006
"400255",1,1920.74503981644
"400258",1,2355.53943217666
"400260",1,2191.43879742305
"400263",1,1986.94920955264
"400268",1,2105.5592469546
"400270",1,2543.41700404859
"400272",1,2069.69503868912
"400274",1,2065.28541226216
"400276",1,1812.07920792079
"400278",1,1735.02082665812
"400280",2,1570.04926108374
"400284",1,1932.93261090416
"400289",1,2045.52164009112
"400291",1,1779.78387364921
"400292",1,2135.67123287671
"400296",1,1901.19402985075
"400297",1,1849.73474801062
"400301",1,2128.65480427046
"400302",1,1899.6995813839
"400304",1,2139.06831000626
"400307",1,2157.88034188034
"400309",1,2095.7864476386
"400312",1,1860.51565377533
"400313",1,2016.80602006688
"400316",1,1983.01526717557
"400317",1,2019.39082568807
"400319",1,1915.64516129033
"400323",1,2257.30765269337
"400324",1,2296.3978269954
"400325",1,2124.80198019802
"400329",1,1899.23800986104
"400330",1,1993.35
"400331",1,1995.44673337258
"400333",1,1931.71370653361
"400334",1,2315.17989326906
"400336",1,2092.86505392014
"400337",1,1716.7768369298
"400338",1,2163.7496661622
"400339",1,2059.3990110308
"400340",1,1904.35327933106
"400341",1,1856.13789122098
"400345",1,2262.71915315911
"400353",1,2221.06424911313
"400354",1,2056.85372585096
"400360",1,1986.09094382881
"400361",1,2157.76126482214
"400363",1,2214.73197781885
"400372",1,2021.51523178808
"400378",1,1969.35112189206
"400382",1,2161.5294117647
"400383",1,1682.89198606272
"400388",1,2400.96618357488
"400389",1,2034.61412151067
"400392",1,2164.87608069164
"400393",1,2369.37091784118
"400394",1,1778.73053892216
"400395",1,1611.40175219023
"400397",1,1567.07692307693
"400400",1,1925.75444398512
"400402",1,2199.16981132075
"400409",1,2152.25
"400411",1,2228.17655571635
"400413",1,1994.98259860789
"400414",1,2390.64850136239
"400416",2,1266.81383370125
"400417",1,2038.71805613741
"400418",1,2088.63442225556
"400420",1,2274.72430152872
"400422",1,1967.13469148468
